COURSE CODE2,COURSE TITLE,EOS,EOS Mid-point
ID001,Accounting and Finance,203,253
ID002,Business Studies,294,309
LC110,"Art and Design (Common Entry, portfolio)",740,961
LC114,Fashion and Textiles for Product and Costume (portfolio),880,1029
LC115,Art and Design Teacher Education (portfolio),942,1013
LC220,Digital Marketing,262,298
LC223,Law and Taxation,307,356
LC224,Accounting and Finance,300,371
LC225,Marketing and Management,298,358
LC226,Enterprise and Innovation,234,310
LC233,Software Development,272,339
LC234,Interactive Digital Media,225,307
LC236,Internet Systems Development,260,272
LC239,Computer Networks and Systems Management,309,371
LC241,Construction Management,255,338
LC242,Property Valuation and Management,282,320
LC243,Quantity Surveying,298,362
LC248,Built Environment (Common Entry),288,376
LC252,Civil Engineering Management,270,308
LC263,Clinical Technology,294,359
LC265,Forensic and Pharmaceutical Sciences,413,476
LC266,Drug and Medicinal Product Analysis,262,300
LC275,Electrical Engineering,298,384
LC288,Mechanical Engineering,346,415
LC289,Precision Engineering,291,350
LC292,Social Care Work,367,389
LC293,Business Studies with Travel and Tourism Management,307,356
LC294,Business Studies with Event Management,279,347
LC295,Business Studies with Sports Management,252,313
LC297,Community Development,235,298
LC320,Business,346,388
LC330,Business with Computing,297,378
LC340,Interior Design,350,391
LC362,Biotechnology and Biopharmaceutical Sciences,413,440
LC371,Creative Broadcast and Film Production,309,378
LC372,Music Technology and Production,325,402
LC374,Renewable and Electrical Energy Engineering,318,410
LC375,Industrial Automation and Robotic Systems,317,392
LC376,Electronic Engineering,318,358
LC380,Automotive Engineering and Transport Management,298,337
LC392,Business Studies in Beauty and Spa Management,236,328
LC393,Early Childhood Education and Care,236,307
LC401,Early Childhood Education and Care,297,298
LC402,Social Care Work,225,288
LC408,Environmental Science and Climate,279,348
LC414,Data Analytics and Cyber Security,236,336
LC416,Business,274,391
LC418,Computing - Games Design and Development,270,338
LC422,Sports Strength and Conditioning,298,347
LC434,Environmental Science and Agriculture,297,349
LC502,Game Art and Design (portfolio),852,1024
LC517,Creative Media and Design,234,327
LC518,Digital Animation Production (portfolio),808,939
LC612,Social Care Work,320,343
LC613,Early Childhood Education and Care,242,327
LM002,Arts,348,410
LM020,Law and Accounting,465,499
LM026,Performing Arts (audition required),303,401
LM028,Criminal Justice,418,440
LM029,Law Plus,490,521
LM038,Psychology and Sociology,500,507
LM039,Journalism and Digital Communication,402,455
LM040,European Studies,369,488
LM044,Applied Languages,442,499
LM050,Business Studies (options),431,476
LM056,International Business,528,555
LM058,Financial Mathematics,403,521
LM063,Technology Management,379,419
LM068,Food Science and Health,421,454
LM076,Product Design and Technology (portfolio required),408,487
LM077,Aeronautical Engineering,520,554
LM082,Construction Management and Engineering,398,434
