Code,Title,Points1,Points2,Year,Duplicate?
DL833,Photography,636,791,2019,0
DL834,Film and Television Production,933,1011,2019,0
DL835,Creative Media Technologies,237,289,2019,0
DL836,Creative Computing,217,326,2019,0
DL837,New Media Studies,290,349,2019,0
DL838,Creative Music Production,746,873,2019,0
DN100,Architecture,473,509,2019,0
DN120,Landscape Architecture,353,403,2019,0
DN130,City Planning and Environmental Policy,367,421,2019,0
DN150,Engineering (Common Entry),511,554,2019,0
DN200,Science (options),521,554,2019,0
DN201,Computer Science (Common Entry),488,509,2019,0
DN230,Actuarial and Financial Studies,577,589,2019,0
DN250,Agricultural Science (options),420,462,2019,0
DN252,Dairy Business,398,428,2019,0
DN253,Agri - Environmental Sciences,403,419,2019,0
DN261,Food Science,434,467,2019,0
DN262,Human Nutrition,493,510,2019,0
DN271,Forestry,303,361,2019,0
DN272,"Horticulture, Landscape and Sportsturf Management",252,312,2019,0
DN300,Veterinary Medicine - Undergraduate Entry,567,589,2019,0
DN301,Veterinary Medicine - Graduate Entry,,,2019,0
DN310,Veterinary Nursing,441,487,2019,0
DN400,Medicine - Undergraduate Entry (HPAT required),735,745,2019,0
DN401,Medicine - Graduate Entry (GAMSAT required),59,61,2019,0
DN410,Radiography,507,522,2019,0
DN411,Radiography - Graduate Entry,,,2019,0
DN420,Physiotherapy,542,555,2019,0
DN425,Health and Performance Science,488,509,2019,0
DN430,Sport and Exercise Management,436,455,2019,0
DN440,"Biomedical, Health and Life Sciences",565,579,2019,0
DN450,General Nursing,398,420,2019,0
DN451,Children`s and General Nursing (Integrated),462,499,2019,0
DN452,Midwifery,409,452,2019,0
DN453,Mental Health Nursing,379,403,2019,0
DN520,Arts (Two Subjects),336,408,2019,0
DN530,Humanities (options),348,411,2019,0
DN541,Modern Languages (options),348,412,2019,0
DN600,Law (options),520,532,2019,0
DN610,Business and Law,521,543,2019,0
DN650,Commerce,498,510,2019,0
DN660,Commerce International (options),507,531,2019,0
DN670,Economics and Finance,601,601,2019,0
DN700,Social Sciences (options),388,441,2019,0
DN710,Economics,476,488,2019,0
DN720,Psychology,517,531,2019,0
DN750,Social Policy and Sociology,330,366,2019,0
DT001,Product Design,433,464,2019,0
DT028,Transport Operations and Technology,279,348,2019,0
DT035,Electrical Services and Energy Management,293,340,2019,0
DT066,Engineering (General Entry),400,457,2019,0
DT101,Architecture (test and interview),618,647,2019,0
DT106,Planning and Environmental Management,312,337,2019,0
DT110,Property Economics (Valuation Surveying),367,424,2019,0
DT111,Quantity Surveying and Construction Economics,391,421,2019,0
DT112,Geographic Science,287,335,2019,0
DT117,Construction Management,356,373,2019,0
DT175,Architectural Technology,388,425,2019,0
DT201,Science (General Entry),464,477,2019,0
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,403,2019,0
DT204,Biomedical Science,501,512,2019,0
DT205,Mathematical Sciences,315,363,2019,0
DT206,Biomedical and Molecular Diagnostics,473,487,2019,0
DT211,Computer Science (Infrastructure),381,414,2019,0
DT220,Industrial Mathematics,300,317,2019,0
DT221,Physics with Energy and Environment,348,436,2019,0
DT222,Physics Technology,321,371,2019,0
DT223,Human Nutrition and Dietetics,553,566,2019,0
DT224,Optometry,487,529,2019,0
DT225,Public Health Nutrition,440,476,2019,0
DT227,Science with Nanotechnology,312,361,2019,0
DT228,Computer Science,451,466,2019,0
DT229,Clinical Measurement Science,491,509,2019,0
DT235,Physics with Medical Physics and Bioengineering,357,403,2019,0
DT282,Computer Science (International),377,402,2019,0
DT299,Chemical Sciences with Medicinal Chemistry,420,445,2019,0
DT302,Business Analytics,325,403,2019,0
DT304,E-Commerce in Retailing,341,388,2019,0
DT321,Business and Law,462,478,2019,0
DT341,Marketing,400,419,2019,0
DT343,Retail and Services Management,301,332,2019,0
DT354,Business Computing,322,341,2019,0
DT358,Logistics and Supply Chain Management,300,359,2019,0
DT365,Business and Management,440,456,2019,0
DT366,Accounting and Finance,432,454,2019,0
DT398,Human Resource Management,375,388,2019,0
DT399,Economics and Finance,437,465,2019,0
DT401,International Hospitality Management,300,337,2019,0
DT405,Culinary Science,308,377,2019,0
DT407,Culinary Arts,271,342,2019,0
DT412,Tourism Marketing,284,322,2019,0
DT413,Event Management,356,389,2019,0
DT416,Culinary Entrepreneurship,275,339,2019,0
DT420,Nutraceuticals in Health and Nutrition,392,432,2019,0
DT421,Food Innovation,321,366,2019,0
DT422,Pharmaceutical Healthcare,397,423,2019,0
DT491,Environmental Health,343,380,2019,0
DT501,Music,383,520,2019,0
DT504,Film and Broadcasting,443,467,2019,0
DT506,Commercial Modern Music,468,835,2019,0
DT508,Game Design,403,454,2019,0
DT517,Languages and English Studies,326,419,2019,0
DT518,Languages and International Tourism,307,357,2019,0
DT529,Drama (Performance),371,519,2019,0
DT532,Law (LL.B.),422,441,2019,0
DT533,Contemporary Visual Culture,,,2019,0
DT544,Interior Design,552,866,2019,0
DT545,Design - Visual Communication,667,897,2019,0
DT546,Fine Art,668,813,2019,0
DT555,International Business and Languages,353,399,2019,0
