Code,Title,Points1,Points2,Year
LC263,Clinical Technology,294,359,2020
LC265,Forensic and Pharmaceutical Sciences,413,476,2020
LC266,Drug and Medicinal Product Analysis,262,300,2020
LC275,Electrical Engineering,298,384,2020
LC288,Mechanical Engineering,346,415,2020
LC289,Precision Engineering,291,350,2020
LC292,Social Care Work,367,389,2020
LC293,Business Studies with Travel and Tourism Management,307,356,2020
LC294,Business Studies with Event Management,279,347,2020
LC295,Business Studies with Sports Management,252,313,2020
LC297,Community Development,235,298,2020
LC320,Business,346,388,2020
LC330,Business with Computing,297,378,2020
LC340,Interior Design,350,391,2020
LC362,Biotechnology and Biopharmaceutical Sciences,413,440,2020
LC371,Creative Broadcast and Film Production,309,378,2020
LC372,Music Technology and Production,325,402,2020
LC374,Renewable and Electrical Energy Engineering,318,410,2020
LC375,Industrial Automation and Robotic Systems,317,392,2020
LC376,Electronic Engineering,318,358,2020
LC380,Automotive Engineering and Transport Management,298,337,2020
LC392,Business Studies in Beauty and Spa Management,236,328,2020
LC393,Early Childhood Education and Care,236,307,2020
LC401,Early Childhood Education and Care,297,298,2020
LC402,Social Care Work,225,288,2020
LC408,Environmental Science and Climate,279,348,2020
LC414,Data Analytics and Cyber Security,236,336,2020
LC416,Business,274,391,2020
LC418,Computing - Games Design and Development,270,338,2020
LC422,Sports Strength and Conditioning,298,347,2020
LC434,Environmental Science and Agriculture,297,349,2020
LC502,Game Art and Design (portfolio),852,1024,2020
LC517,Creative Media and Design,234,327,2020
LC518,Digital Animation Production (portfolio),808,939,2020
LC612,Social Care Work,320,343,2020
LC613,Early Childhood Education and Care,242,327,2020
LM002,Arts,348,410,2020
LM020,Law and Accounting,465,499,2020
LM026,Performing Arts (audition required),303,401,2020
LM028,Criminal Justice,418,440,2020
LM029,Law Plus,490,521,2020
LM038,Psychology and Sociology,500,507,2020
LM039,Journalism and Digital Communication,402,455,2020
LM040,European Studies,369,488,2020
LM044,Applied Languages,442,499,2020
LM050,Business Studies (options),431,476,2020
LM056,International Business,528,555,2020
LM058,Financial Mathematics,403,521,2020
LM063,Technology Management,379,419,2020
LM068,Food Science and Health,421,454,2020
LM076,Product Design and Technology (portfolio required),408,487,2020
LM077,Aeronautical Engineering,520,554,2020
LM082,Construction Management and Engineering,398,434,2020
LM089,Sport and Exercise Sciences,474,489,2020
LM090,Physical Education with concurrent Teacher Education,532,565,2020
LM091,Languages with concurrent Teacher Education,517,543,2020
