Code,Title,Points1,Points2,Mid-point,Year
CR700,Theatre and Drama Studies at CIT Cork School of Music,609,609,894,2021
CR700,Theatre and Drama Studies at CIT Cork School of Music,740,645,982,2020
CR930,Home Economics and Business,518,,542,2021
CT125,Computing and IT,242,242,334,2021
CT125,Information Technology,235,,280,2019
CT125,Information Technology,220,,299,2020
CT325,Business,338,,338,2020
CT325,Business,253,253,337,2021
CW018,Business (options),298,248,312,2020
CW018,"Business (options, Wexford)",327,,349,2019
CW018,Business (options),307,,381,2021
CW028,Early Childhood Education and Care,260,,378,2021
CW028,Early Childhood Education and Care (Wexford),252,,308,2019
CW028,Early Childhood Education and Care,252,,301,2020
CW038,Art (portfolio),700,,700,2021
CW038,"Art (portfolio, Wexford)",700,,700,2019
CW038,Art (portfolio),700,,700,2020
CW048,Creative Computing and Digital Innovation,,,0,2021
CW058,Tourism and Event Management,292,,356,2021
CW058,Tourism and Event Management,298,,348,2020
CW058,Tourism and Event Management (Wexford),252,,262,2019
CW068,Applied Social Studies in Professional Social Care,250,,306,2021
CW068,Applied Social Studies in Professional Social Care,245,,292,2020
CW068,Applied Social Studies - Professional Social Care (Wexford),251,,280,2019
CW078,Sustainable Farm Management and Agribusiness (Wexford),266,,320,2019
CW078,Sustainable Farm Management and Agribusiness,270,,363,2021
CW078,Sustainable Farm Management and Agribusiness,269,,327,2020
CW088,Visual Communications and Design (Wexford),309,,345,2019
CW088,Visual Communications and Design,274,,340,2020
CW088,Visual Communications and Design,270,,290,2021
CW108,Science (options),261,,346,2020
CW108,Science (options),266,,361,2021
CW108,Science (options),261,,326,2019
CW128,Brewing and Distilling,307,,349,2021
CW128,Brewing and Distilling,263,,318,2020
CW128,Brewing and Distilling,271,,298,2019
CW138,Sport and Exercise Science,423,,444,2020
CW138,Sport and Exercise Science,430,423,462,2021
CW148,Strength and Conditioning,379,,400,2020
CW148,Strength and Conditioning,388,,409,2021
CW178,Sport Science (options),399,,424,2019
CW188,Sport Rehabilitation and Athletic Therapy,451,,488,2021
CW188,Sport Rehabilitation and Athletic Therapy,454,,473,2019
CW188,Sport Rehabilitation and Athletic Therapy,451,448,466,2020
CW208,Computer Games Development,272,,333,2021
CW208,Computer Games Development,279,,327,2020
CW208,Computer Games Development,281,,338,2019
CW238,Software Development,297,,341,2020
CW238,Software Development,300,,343,2019
CW238,Software Development,295,,387,2021
