Title,Points1_2019,Points2_2019,Points1_2020,Points2_2020,Points1_2021,Points2_2021
Arts,300,358,302,363,302   ,302
Social Care,300,338,301,347,322   ,319
Creative Media,300,376,308,337,336   ,320
Film and Television Production,300,332,300,402,308   ,
Audio and Music Production,301,346,301,367,352   ,
General Nursing                                    ,392,401,397,419,440  ,440
Intellectual Disability Nursing,300,317,336,358,367   ,366
Mental Health Nursing                              ,356,378,356,379,398   ,
Early Childhood Studies,305,359,321,388,300   ,
Midwifery                                          ,398,441,440,470,482   ,477
Health and Physical Activity                       ,300,367,328,389,301   ,
Agriculture (Award options),303,358,310,380,342   ,
Science (Award options),300,369,300,370,373   ,368
Sustainable Agriculture,,,,,348   ,
Agri-Food Production                               ,,,,,      ,
Biopharmaceutical Science,,,301,338,379   ,
Environmental Science,,,330,589,377   ,
"English, Media and Cultural Studies",211,317,212,347,,
Arts Management                                    ,209,319,235,337,254   ,
Business Management                                ,260,316,237,325,220   ,
Applied Psychology,349,413,379,434,418   ,413
Visual Communication Design,736,989,855,1024,591  ,
Art,583,902,572,941,574  ,
"3D Design, Modelmaking and Digital Art",691,866,538,920,,
Design for Stage and Screen (Costume Design),817,1021,593,947,,
Design for Stage and Screen (Character Makeup Design),879,953,939,968,,
Design for Stage and Screen (Production Design),893,1073,781,1026,,
Animation,855,1055,920,1022,989  ,
Photography,636,791,667,854,671  ,671
Film and Television Production,933,1011,990,1040,,
Creative Media Technologies,237,289,,,,
Creative Computing                                 ,217,326,219,300,235   ,
New Media Studies,290,349,201,316,298   ,293
Creative Music Production                          ,746,873,754,972,713  ,
Interaction and User Experience Design             ,,,683,990,757  ,
Digital Marketing,,,228,327,210   ,
English and Equality Studies                       ,,,276,341,277   ,277
Film                                               ,,,,,987  ,874
Television                                         ,,,,,566  ,
Design for Film (degree options)                   ,,,,,628  ,
Architecture                                       ,473,509,510,541,555   ,
Landscape Architecture,353,403,407,453,463   ,435
City Planning and Environmental Policy             ,367,421,390,432,445   ,424
Engineering (Common Entry)                         ,511,554,520,565,565  ,
Science (options)                                  ,521,554,533,567,577   ,567
Computer Science (Common Entry),488,509,510,542,554   ,549
Actuarial and Financial Studies,577,589,601,613,613  ,613
Sustainability                                     ,,,440,498,510   ,
Agricultural Science (options),420,462,453,488,454   ,444
Dairy Business,398,428,410,455,,
Agri - Environmental Sciences,403,419,413,443,,
Food Science,434,467,476,495,531   ,
Human Nutrition,493,510,531,553,566   ,
Forestry,303,361,311,359,,
"Horticulture, Landscape and Sportsturf Management",252,312,282,378,,
Veterinary Medicine - Undergraduate Entry,567,589,589,602,601 ,
Veterinary Medicine - Graduate Entry,,,,,      ,
Veterinary Nursing,441,487,466,489,521   ,509
Medicine - Undergraduate Entry (HPAT required)     ,735,745,736,748,743 ,
Medicine - Graduate Entry (GAMSAT required),59,61,58,61,61  ,
Radiography,507,522,531,543,566  ,566
Radiography - Graduate Entry,,,,,     ,
Physiotherapy                                      ,542,555,568,589,601  ,601
Health and Performance Science                     ,488,509,507,521,544   ,543
Sport and Exercise Management                      ,436,455,433,455,484   ,476
"Biomedical, Health and Life Sciences",565,579,589,601,613  ,613
General Nursing,398,420,421,445,462  ,
Children`s and General Nursing (Integrated),462,499,499,529,533   ,
Midwifery,409,452,473,499,510   ,509
Mental Health Nursing,379,403,393,412,442   ,
Arts (Two Subjects),336,408,310,409,381   ,378
Humanities (options),348,411,326,419,397   ,388
Modern Languages (options)                         ,348,412,300,443,320   ,
Law (options),520,532,543,566,576   ,567
Business and Law                                   ,521,543,544,577,573   ,567
Commerce                                           ,498,510,521,543,555   ,
Commerce International (options),507,531,510,531,555   ,554
Economics and Finance,601,601,613,625,625  ,625
