Code,Title,Points1,Mid,Year
BN109,Business (Common Entry with Award options),260,279,2019
BN110,International Business,253,308,2019
BN111,Sports Management and Coaching,270,298,2019
BN112,Creative Digital Media,280,329,2019
BN113,Horticulture,289,321,2019
BN114,Accounting and Finance,280,332,2019
BN115,Community and Youth Development,250,298,2019
BN117,Computer Engineering in Mobile Systems,273,311,2019
BN118,Early Childhood Care and Education,290,320,2019
BN119,Digital Marketing,270,308,2019
BN120,Digital Forensics and Cyber Security,281,326,2019
BN121,Mechatronic Engineering,276,340,2019
BN123,"Design,Technology and Innovation",297,318,2019
TA022,Creative Digital Media,260,318,2019
TA023,Advertising and Marketing Communications,235,299,2019
TA024,Early Childhood Care and Education,217,307,2019
TA025,Social Care Practice,261,297,2019
TA026,International Hospitality and Tourism Management,208,269,2019
TA027,Botanical Cuisine,236,273,2019
TA028,Digital Marketing Technologies,220,313,2019
TA121,Accounting and Finance,202,328,2019
TA122,Management,218,297,2019
TA123,Marketing Management,207,284,2019
TA125,International Business,229,300,2019
TA221,Electronic Engineering,251,321,2019
TA222,Mechanical Engineering,243,302,2019
TA223,Sustainable Energy Engineering,236,305,2019
TA224,Biomedical Design,218,324,2019
TA225,Automation Engineering,235,288,2019
TA226,Engineering Software,243,304,2019
TA321,Pharmaceutical Science,261,298,2019
TA322,Computing,200,294,2019
TA323,Computing with IT Management,243,309,2019
TA326,DNA and Forensic Analysis,300,362,2019
TA327,Sports Science and Health,341,381,2019
TA328,Computing with Language (French/German/Spanish),218,317,2019
TA329,Computing with Data Analytics,218,296,2019
AD101,First Year Art & Design (Common Entry), , 550,2019
AD102,Graphic Design and Moving Image Design, , 635,2019
AD103,Textile & Surface Design and Jewellery & Objects, , 545,2019
AD202,Education & Design or Fine Art (Second Level Teaching), , 580,2019
AD204,Fine Art, , 600,2019
AD211,Fashion Design, , 600,2019
AD212,Product Design, , 600,2019
AD215,Visual Culture,300,338,2019
AD217,Illustration, , 625,2019
AD222,Interaction Design, , 657,2019
NC003,Computing (Degree Award options),261,316,2019
NC005,Human Resource Management,297,320,2019
NC009,Business,297,339,2019
NC010,Psychology,366,399,2019
NC020,Marketing Practice,270,307,2019
NC022,Accounting and Finance,338,376,2019
NC023,Technology Management (with specialisations),260,303,2019
NC025,Data Science,297,371,2019
RC001,Medicine - Undergraduate Entry (HPAT required),729,733,2019
RC004,Physiotherapy,532,542,2019
RC005,Pharmacy,555,566,2019
RC101,Medicine - Graduate Entry (GAMSAT required),60,62,2019
TR002,Music,414,473,2019
TR003,History,486,518,2019
TR004,Law,532,552,2019
TR005,Philosophy,391,446,2019
TR006,Psychology,555,577,2019
TR007,Clinical Speech and Language Studies,499,529,2019
TR009,Music Education,430,465,2019
TR012,History and Political Science,532,557,2019
TR015,"Philosophy, Political Science, Economics and Sociology",566,577,2019
TR016,Deaf Studies,337,372,2019
TR017,Law and Business,576,589,2019
TR018,Law and French,532,554,2019
TR019,Law and German,523,555,2019
TR020,Law and Political Science,567,600,2019
TR021,"Classics, Ancient History and Archaeology",377,495,2019
TR022,Early and Modern Irish,347,407,2019
TR023,English Studies,463,511,2019
TR024,European Studies,520,544,2019
TR025,Drama and Theatre Studies,489,531,2019
TR028,Ancient and Medieval History and Culture,339,451,2019
TR029,Political Science and Geography,477,500,2019
TR031,Mathematics,566,589,2019
TR032,Engineering,487,520,2019
TR033,Computer Science,465,488,2019
TR034,Management Science and Information Systems Studies,589,602,2019
TR035,Theoretical Physics,554,601,2019
TR038,Engineering with Management,499,543,2019
TR039,Computer Science and Language,435,498,2019
TR040,Middle Eastern and European Languages and Cultures,485,518,2019
TR041,Religion,347,393,2019
TR051,Medicine (HPAT required),730,739,2019
TR052,Dental Science,590,602,2019
TR053,Physiotherapy,533,544,2019
TR054,Occupational Therapy,500,520,2019
TR055,Radiation Therapy,510,521,2019
TR056,Human Health and Disease,543,565,2019
TR060,Biological and Biomedical Sciences,510,542,2019
TR061,Chemical Sciences,488,520,2019
TR062,Geography and Geoscience,435,485,2019
TR063,Physical Sciences,498,543,2019
TR072,Pharmacy,555,577,2019
TR080,Global Business,565,577,2019
TR081,"Business, Economic and Social Studies (BESS)",518,542,2019
TR082,Computer Science and Business,510,542,2019
